Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,manufacturer_label,Ţara
60,ACECLOFENACUM,,ACECLOFENACUM,601001,,Aceclofenac-BP,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M199-Artroza, fara precizare","Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
60,ACECLOFENACUM,,ACECLOFENACUM,601001,,Aceclofenac-BP,M01AB16,Partial,Pentru tratamentul maladiilor aparatului locomotor,"M069-Artrita reumatoida, fara precizare
M109-Guta, fara precizare","Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
819,ACECLOFENACUM,,ACECLOFENACUM,8191001,,Aceclofenac-BP,M01AB16,Full,pentru tratamentul episodic,"M069-Artrita reumatoida, fara precizare
M199-Artroza, fara precizare","Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
819,ACECLOFENACUM,,ACECLOFENACUM,8191001,,Aceclofenac-BP,M01AB16,Full,pentru tratamentul episodic,"M069-Artrita reumatoida, fara precizare
M109-Guta, fara precizare","Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9015003,Bronhoclean,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
,ACETYLCYSTEINUM,901,ACETYLCYSTEINUM,,9015003,Bronhoclean,R05CB01,Full,pentru tratamentul episodic,"J40-Bronsita neprecizata ca acuta sau cronica
J189-Pneumonie fara precizare","Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
11,ACIDUM ACETYLSALICYLICUM,,,111017,,Sanocard,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
11,ACIDUM ACETYLSALICYLICUM,,,112012,,Sanocard,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
11,ACIDUM ACETYLSALICYLICUM,,,114004,,Sanocard,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
11,ACIDUM ACETYLSALICYLICUM,,,114004,,Sanocard,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
650,ACIDUM ACETYLSALICYLICUM,750,,6501017,7501017,Sanocard,B01AC06,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
650,ACIDUM ACETYLSALICYLICUM,750,,6502012,7502012,Sanocard,B01AC06,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
650,ACIDUM ACETYLSALICYLICUM,750,,6504004,7504004,Sanocard,B01AC06,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
650,ACIDUM ACETYLSALICYLICUM,750,,6504004,7504004,Sanocard,B01AC06,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
400,ACIDUM ACETYLSALICYLICUM,,,4004004,,Sanocard,B01AC06,Full,Pentru tratamentul în Îngrijiri paliative,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
400,ACIDUM ACETYLSALICYLICUM,,,4004004,,Sanocard,B01AC06,Full,Pentru tratamentul în Îngrijiri paliative,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
14,ACIDUM URSODEOXYCHOLICUM,,,141010,,Hepaurs,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
14,ACIDUM URSODEOXYCHOLICUM,,,142004,,Hepaurs,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
18,AMIODARONUM,,,181013,,Amiodaron- BP,C01BD01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
17,BISOPROLOLUM,,,171019,,Bisoprolol-BP,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
17,BISOPROLOLUM,,,172019,,Bisoprolol-BP,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
54,CARVEDILOLUM,,,541003,,Carvedilol-BP,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
54,CARVEDILOLUM,,,542006,,Carvedilol-BP,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
54,CARVEDILOLUM,,,543003,,Carvedilol-BP,C07AG02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
381,CLEMASTINUM,,,3811003,,Clemastin-BP,R06AA04,Full,Pentru tratamentul epidermolizei buloase,,"Balkan Pharmaceuticals SRL, SC",Balkan Pharmaceuticals,Republica Moldova
