Grupa maladiilor pentru compensare,Cod DCI,Denumirea Comuna Internationala (DCI),Doza în SI MC,Cod DC,Denumirea comercială (DC),Doza,Forma farmaceutică,Divizarea,Ţara,Firma producătoare,Număr de înregistrare,Data înregistrării,Cod ATC,Cod medicament (Catalogul național de prețuri),is_child_rate,coverage_type,Cod DCI_sec,Cod DC_sec
pentru tratamentul episodic,,PARACETAMOLUM,120,,Bioflu® baby ,120 mg/5 ml,sirop,100 ml N1,România,"Biofarm S.A., România(PROD: Biofarm S.A., România; )",30336,31.07.2024,N02BE01,9240803340,True,Full,205,2058014
pentru tratamentul episodic,,PARACETAMOLUM,120,,Tylol®,120 mg/5 ml,susp. orală,100 ml N1,Turcia,"Nobel Ilac Sanayii ve Ticaret AŞ (prod.: Nobelfarma Ilac Sanayii ve Ticaret AŞ, Turcia)",26702,05.02.2021,N02BE01,1600660489,True,Full,205,2058012
pentru tratamentul episodic,,PARACETAMOLUM,100,,Cefecon® D,100 mg,sup.,N5x2,Rusia,"Nijfarm SA, Rusia(PROD: Nijfarm SA, Rusia; )",28180,08.09.2022,N02BE01,1600140585,True,Full,205,2051301
pentru tratamentul episodic,,PARACETAMOLUM,500,,Paracetamol,500 mg,sup.,N5x2,Republica Moldova,"Farmaprim SRL, Republica Moldova(PROD: Farmaprim SRL, Republica Moldova; )",26245,2020-05-13 00:00:00,N02BE01,9230802845,True,Full,205,2051302
pentru tratamentul episodic,,BENZATHINIBENZYLPENICILLINUM plus BENZYLPENICILLINUM,600000,,Bicilin®-3,600000 UA,pulb./susp. inj.,N1,Ucraina,Kievmedpreparat SAP,27921,27.06.2022,J01CE30,0200090027,True,Full,210,2101001
pentru tratamentul episodic,,BENZATHINIBENZYLPENICILLINUM plus BENZYLPENICILLINUM,1500000,,Bicilin®-5,1500000 UA,pulb./susp. inj.,N1,Ucraina,Kievmedpreparat SAP,27922,27.06.2022,J01CE30,0200090016,True,Full,210,2102001
pentru tratamentul episodic,,ALBENDAZOLUM,1-400,,Vermigal® Novo 400 mg,400 mg,susp. orală,10 ml N1,România,"Biofarm SA, SC",25487,04.04.2019,P02CA03,100260094,True,Full,226,2261001
pentru tratamentul episodic,,ALBENDAZOLUM,1-400,,Zentel,0.4 g/10 ml,susp. orală,10 ml N1,Franţa,"Laboratoire GlaxoSmithKline, Franţa(PROD: Aspen Bad Oldesloe GmbH, Germania; )",27985,04.08.2022,P02CA03,0100260027,True,Full,226,2261002
pentru tratamentul episodic,,ALBENDAZOLUM,2-400,,Albendazol-BP,400 mg,comprimate filmate,N10,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",28743,29.12.2022,P02CA03,9230102441,True,Full,226,2263001
pentru tratamentul episodic,,ALBENDAZOLUM,2-400,,Aldazol,400 mg,comprimate filmate,N3,Ucraina,"Uzina de vitamine din Kiev SA, Ucraina(PROD: Uzina de vitamine din Kiev SA, Ucraina; )",29352,31.10.2023,P02CA03,0100260201,True,Full,226,2263002
pentru tratamentul episodic,,ALBENDAZOLUM,2-400,,Alziben 400,400 mg,comprimate masticabile,N1,India,"Zim Laboratories Limited, India(PROD: Zim Laboratories Limited, India; )",30541,26.12.2024,P02CA03,9241203618,True,Full,226,2263007
pentru tratamentul episodic,,ALBENDAZOLUM,2-400,,Albela,400 mg,comprimate,N3,Ucraina,"Kusum Pharm SRL, Ucraina(PROD: Kusum Pharm SRL, Ucraina; )",25461,04.04.2019,P02CA03,0100260289,True,Full,226,2263006
pentru tratamentul episodic,,ALBENDAZOLUM,2-400,,Albela,400 mg,comprimate,N1x3,Ucraina,"Kusum Pharm SRL, Ucraina(PROD: Kusum Pharm SRL, Ucraina; )",25461,04.04.2019,P02CA03,0100260290,True,Full,226,2263006
pentru tratamentul episodic,,AMBROXOLUM,2-15,,Ambroxol 15,15 mg/5 ml,sirop,100 ml N1,Ucraina,"Centrul Ştiinţific de Producere ""Uzina Chimico-Farmaceutică Borsceagov"" SAP, Ucraina(PROD: Centrul Ştiinţific de Producere ""Uzina Chimico-Farmaceutică Borsceagov"" SAP, Ucraina; )",26545,19.11.2020,R05CB06,100450103,True,Full,227,2271002
pentru tratamentul episodic,,AMBROXOLUM,2-15,,Ambroxol Biofarm,15 mg/5 ml,sirop,100 ml N1,România,"Biofarm SA, SC",25298,07.02.2019,R05CB06,100450548.99999999,True,Full,227,2271003
pentru tratamentul episodic,,AMBROXOLUM,2-15,,Flavamed®,15 mg/5 ml,sirop,100 ml N1,Germania,Berlin-Chemie AG (Menarini Group),27430,27.12.2021,R05CB06,9211201482,True,Full,227,2271005
pentru tratamentul episodic,,AMBROXOLUM,4-15,,Pulmoxol™,15 mg/5 ml,sirop,150 ml N1,Turcia,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,25068,29.10.2018,R05CB06,100450561,True,Full,227,2271006
pentru tratamentul episodic,,AMBROXOLUM,4-15,,Sekrol® Pediatric,15 mg/5 ml,sirop,150 ml N1,Turcia,Bilim Pharmaceuticals AS,26014,27.12.2019,R05CB06,100450033,True,Full,227,2271007
pentru tratamentul episodic,,AMBROXOLUM,2-15,,Halixol®,15 mg/5 ml,sirop,100 ml N1,Ungaria,Egis Pharmaceuticals PLC,28114,25.08.2022,R05CB06,100450262,True,Full,227,2271009
pentru tratamentul episodic,,AMBROXOLUM,2-15,,Ambrex® Pediatric,15 mg/5 ml,sirop,100 ml N1,Turcia,"Nobel Ilac Sanayii ve Ticaret A.Ş. (prod.: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia) ",26490,10.09.2020,R05CB06,100450858.99999999,True,Full,227,2271015
pentru tratamentul episodic,,AMBROXOLUM,2-15,,Abrol®,15 mg/5 ml,sirop,100 ml N1,Ucraina,Kusum Pharm SRL,25627,21.06.2019,R05CB06,100450826,True,Full,227,2271016
pentru tratamentul episodic,,AMBROXOLUM,2-15,,Mucosolvan® Junior,15 mg/5 ml,sirop,100 ml N1,România,"Sanofi S.P.A., Italia; Delpharm Reims, Franţa; Boehringer Ingelheim Espana SA, Spania",26973,30.07.2021,R05CB06,100450907,True,Full,227,2271017
pentru tratamentul episodic,,AMBROXOLUM,2-15,,Bronhocalm,15 mg/5 ml,sirop,100 ml N1,Republica Moldova,"Eurofarmaco SA, ÎCS",26628,14.12.2020,R05CB06,100450871,True,Full,227,2271019
pentru tratamentul episodic,,AMBROXOLUM,2-15,,Ambrolytin® 15 mg/5 ml sirop,15 mg/5 ml,sirop,100 ml N1,Bulgaria,"SOPHARMA AD, Bulgaria(PROD: SOPHARMA AD, Bulgaria; )",30662,18.04.2025,R05CB06,9250403734,True,Full,227,2271021
pentru tratamentul episodic,,AMBROXOLUM,3-15,,Bronchoton Ambro,15 mg/5 ml,sirop,120 ml N1,Bulgaria,"Danhson-BG, Bulgaria(PROD: VETPROM AD, Bulgaria; )",26848,12.05.2021,R05CB06,9210501018,True,Full,227,2271020
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Abrol®,30 mg,comprimate,N10x2,Ucraina,Kusum Pharm SRL,25716,01.08.2019,R05CB06,100450804,True,Full,227,2272001
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Ambroxol,30 mg,comprimate,N10x2,Republica Belarus,Lekfarm SRL,24709,03.07.2018,R05CB06,100450457,True,Full,227,2272006
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Ambroxol,30 mg,comprimate,N10x5,Republica Belarus,Lekfarm SRL,24709,03.07.2018,R05CB06,100450686,True,Full,227,2272006
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Ambroxol clorhidrat,30 mg,comprimate,N10x2,Ucraina,"Centrul Ştiinţific de Producere ""Uzina Chimico-Farmaceutică Borsceagov"" SAP, Ucraina(PROD: Centrul Ştiinţific de Producere ""Uzina Chimico-Farmaceutică Borsceagov"" SAP, Ucraina; )",28003,04.08.2022,R05CB06,100450125,True,Full,227,2272007
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Bronhocalm,30 mg,comprimate,N10x2,Republica Moldova,"Eurofarmaco SA, ÎCS",26723,05.02.2021,R05CB06,100450860.00000001,True,Full,227,2272009
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Flavamed®,30 mg,comprimate,N10x2,Germania,"Berlin-Chemie AG (Menarini Group) (prod.: Berlin-Chemie AG, Germania; Berlin-Chemie AG (Menarini Group), Germania; Menarini-Von Heyden GmbH, Germania) ",28703,28.11.2022,R05CB06,100450424,True,Full,227,2272010
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Halixol®,30 mg,comprimate,N10x2,Ungaria,Egis Pharmaceuticals PLC,28115,25.08.2022,R05CB06,2600080077,True,Full,227,2272011
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Mucosolvan®,30 mg,comprimate,N10x2,România,"Sanofi Romania SRL, România(PROD: Boehringer Ingelheim Ellas AE, Grecia; ,Delpharm Reims, Franţa; )",27175,2021-10-07 00:00:00,R05CB06,100450918,True,Full,227,2272014
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Sekrol®,30 mg,comprimate,N10x2,Turcia,Bilim Pharmaceuticals AS,25980,05.12.2019,R05CB06,100450583,True,Full,227,2272016
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Ambroxol-BP,30 mg,comprimate,N10x2,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",26879,01.06.2021,R05CB06,9210601045,True,Full,227,2272019
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Ambroxol-KV,30 mg,comprimate,N10x2,Ucraina,Uzina de vitamine din Kiev SAP,26287,22.07.2020,R05CB06,0100450527,True,Full,227,2272022
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Ambroxol,30 mg,comprimate,N10x2,Republica Belarus,"UPM din Borisov SAD, Republica Belarus(PROD: UPM din Borisov SAD, Republica Belarus; )",29500,01.03.2024,R05CB06,9240303164,True,Full,227,2272023
pentru tratamentul episodic,,AMBROXOLUM,1-30,,Ambrolytin® 30 mg comprimate,30 mg,comprimate,N10x2,Bulgaria,"SOPHARMA AD, Bulgaria(PROD: SOPHARMA AD, Bulgaria; )",30640,01.04.2025,R05CB06,9250403726,True,Full,227,2272024
pentru tratamentul episodic,,AMBROXOLUM,3-30,,Abrol®,30 mg/5 ml,sirop,100 ml N1,Ucraina,Kusum Pharm SRL,25628,21.06.2019,R05CB06,100450837,True,Full,227,2273001
pentru tratamentul episodic,,AMBROXOLUM,3-30,,Bronhocalm,30 mg/5 ml,sirop,100 ml N1,Republica Moldova,"Eurofarmaco SA, ÎCS",26629,14.12.2020,R05CB06,100450882.00000001,True,Full,227,2273004
pentru tratamentul episodic,,AMBROXOLUM,3-30,,Flavamed® forte,30 mg/5 ml,sirop,100 ml N1,Germania,Berlin-Chemie AG (Menarini Group),27556,28.02.2022,R05CB06,100450664,True,Full,227,2273005
pentru tratamentul episodic,,AMBROXOLUM,4-30,,Ambrex®,30 mg/5 ml,sirop,150 ml N1,Turcia,"Nobel Ilac Sanayii ve Ticaret A.Ş. (prod.: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia) ",26489,10.09.2020,R05CB06,100450848,True,Full,227,2273006
pentru tratamentul episodic,,AMBROXOLUM,4-30,,Pulmoxol™,30 mg/5 ml,sirop,150 ml N1,Turcia,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,25069,29.10.2018,R05CB06,100450550,True,Full,227,2273009
pentru tratamentul episodic,,AMBROXOLUM,4-30,,Sekrol®,30 mg/5 ml,sirop,150 ml N1,Turcia,Bilim Pharmaceuticals AS,26015,27.12.2019,R05CB06,100450055,True,Full,227,2273010
pentru tratamentul episodic,,AMBROXOLUM,5-30,,Bronchoton Ambro,30 mg/5 ml,sirop,120 ml N1,Bulgaria,"Danhson-BG, Bulgaria(PROD: VETPROM AD, Bulgaria; )",26849,12.05.2021,R05CB06,9210501019,True,Full,227,2273011
pentru tratamentul episodic,,AMBROXOLUM,5-30,,Ambrolytin® 30 mg/5 ml sirop,30 mg/5 ml,sirop,120 ml N1,Bulgaria,"SOPHARMA AD, Bulgaria(PROD: SOPHARMA AD, Bulgaria; )",30638,19.03.2025,R05CB06,9250303715,True,Full,227,2273012
pentru tratamentul episodic,,AMBROXOLUM,60,,Flavamed®,60 mg,comp. eferv.,N10,Germania,"Berlin-Chemie AG (Menarini Group) (prod.: Hermes Arzneimittel GmbH, Germania) ",26809,09.04.2021,R05CB06,100450594,True,Full,227,2274001
pentru tratamentul episodic,,AMOXICILLINUM,2-250,,Amoxicillin,250 mg/5 ml,granule pentru suspensie orală,100 ml N1,Serbia,"Hemofarm AD, Serbia(PROD: Hemofarm AD, Serbia; )",30331,31.07.2024,J01CA04,0100551262,True,Full,202,2028003
pentru tratamentul episodic,,AMOXICILLINUM,2-125,,Bactox,125 mg/5 ml,pulb./susp. orală,60 ml N1,Franţa,"Laboratoire Innotech International (prod.: Innothera Chouzy, Franţa) ",27376,29.11.2021,J01CA04,100550301.99999999,True,Full,202,2021002
pentru tratamentul episodic,,AMOXICILLINUM,2-250,,Bactox,250 mg/5 ml,pulb./susp. orală,60 ml N1,Franţa,"Laboratoire Innotech International (prod.: Innothera Chouzy, Franţa) ",27377,29.11.2021,J01CA04,100550312.99999999,True,Full,202,2028002
pentru tratamentul episodic,,AMOXICILLINUM+ACIDUM CLAVULANICUM ,2-400,,Klamoks® BID Fort,400 mg + 57 mg/5 ml,pulb./susp. orală,70 ml N1,Turcia,Bilim  Ilac Sanayi Ve Ticaret A.Ș,25816,03.09.2019,J01CR02,108850432.99999999,True,Full,228,2281003
pentru tratamentul episodic,,AMOXICILLINUM+ACIDUM CLAVULANICUM ,2-400,,Betaklav®,400 mg/ + 57 mg/5 ml,pulb./susp. orală,70 ml N1,Slovenia,"KRKA d.d., Novo mesto",29019,03.05.2023,J01CR02,0108850558,True,Full,228,2281005
pentru tratamentul episodic,,AMOXICILLINUM+ACIDUM CLAVULANICUM ,2-400,,Amoksiklav® 2x,400 mg + 57 mg/5 ml,pulb./susp. orală,70 ml N1,Slovenia,"Lek Pharmaceuticals d.d. (prod.: Lek Pharmaceuticals d.d., Penicillin Production Plant, Slovenia) ",29355,31.10.2023,J01CR02,0108850569,True,Full,228,2281006
pentru tratamentul episodic,,AMOXICILLINUM+ACIDUM CLAVULANICUM ,2-400,,Augmentin BIS 400 mg/57 mg/5 ml pulbere pentru suspensie orală (aroma de fructe mixte),400 mg + 57 mg/5 ml,pulb./susp. orală,70 ml N1,Franţa,"Laboratoire GlaxoSmithKline, Franţa(PROD: Glaxo Wellcome Production, Franţa; ,SmithKline Beecham Pharmaceuticals, Marea Britanie; )",26432,11.08.2020,J01CR02,9200800662,True,Full,228,2281007
pentru tratamentul episodic,,AMOXICILLINUM+ACIDUM CLAVULANICUM ,200,,Klamoks® BID,"200 mg + 28,5 mg/5 ml",pulb./susp. orală,70 ml N1,Turcia,Bilim  Ilac Sanayi Ve Ticaret A.Ș,25815,03.09.2019,J01CR02,108850421.99999999,True,Full,228,2282001
pentru tratamentul episodic,,AMOXICILLINUM+ACIDUM CLAVULANICUM ,600,,Klamoks® ES,"600 mg + 42,9 mg/ 5 ml",pulb./susp. orală,100 ml N1,Turcia,"Bilim Pharmaceuticals A.Ș. (prod.: Bilim Pharmaceuticals A.Ș., Turcia) ",26511,10.09.2020,J01CR02,0108850581,True,Full,228,2284002
pentru tratamentul episodic,,AMOXICILLINUM+ACIDUM CLAVULANICUM ,600,,Amoklavin ES,"600 mg/42,9 mg/5 ml",pulb./susp. orală,100 ml N1,Turcia,"Deva Holding A.Ş. , Turcia(PROD: Deva Holding A.Ș., Turcia; )",30378,26.08.2024,J01CR02,9240903387,True,Full,228,2284010
pentru tratamentul episodic,,ACETYLCYSTEINUM,1-200,,Acetilcistein-BP,200 mg,capsule,N10x3,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",28205,2022-09-08 00:00:00,R05CB01,9220902243,True,Full,901,9012003
pentru tratamentul episodic,,ACETYLCYSTEINUM,1-600,,Fluimucil®,600 mg,comp. eferv.,N2x5,Elveţia,"Zambon Switzerland Ltd., Elveţia(PROD: Zambon Switzerland Ltd., Elveţia; )",29142,24.06.2023,R05CB01,0100080414,True,Full,901,9013004
pentru tratamentul episodic,,ACETYLCYSTEINUM,1-600,,Acetilcisteină Rompharm,600 mg,comp. eferv.,N12,România,"S.C. Rompharm Company S.R.L., România(PROD: S.C. Rompharm Company S.R.L., România; )",29062,26.05.2023,R05CB01,9230502738,True,Full,901,9013005
pentru tratamentul episodic,,ACETYLCYSTEINUM,1-600,,Acetilcisteină Zentiva,600 mg,comp. eferv.,N10,Republica Cehă,"Zentiva k.s., Republica Cehă(PROD: E-Pharma Trento S.p.A., Italia; )",29543,22.03.2024,R05CB01,9240303181,True,Full,901,9013006
pentru tratamentul episodic,,ACETYLCYSTEINUM,100,,Bronhoclean,100 mg,pulb./sol. orală,N10,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",28571,01.11.2022,R05CB01,9221102323,True,Full,901,9014002
pentru tratamentul episodic,,ACETYLCYSTEINUM,2-200,,Fluimucil®,200 mg,gran./sol. orală,N20,Italia,"Zambon S.P.A., Italia(PROD: Zambon Switzerland Ltd., Elveţia; )",29092,26.05.2023,R05CB01,9230502711,True,Full,901,9015001
pentru tratamentul episodic,,ACETYLCYSTEINUM,2-200,,Bronhoclean,200 mg,pulb./sol. orală,3 g N10,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",28572,01.11.2022,R05CB01,9221102324,True,Full,901,9015003
pentru tratamentul episodic,,ACETYLCYSTEINUM,2-600,,Asist® Plus,600 mg/3 g,gran./sol. orală,N2x15,Turcia,Bilim Pharmaceuticals AS,26314,22.07.2020,R05CB01,100080171,True,Full,901,9016001
pentru tratamentul episodic,,ACETYLCYSTEINUM,2-600,,Bronhoclean,600 mg,pulbere pentru soluţie orală,N10,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",28573,01.11.2022,R05CB01,9221102328,True,Full,901,9016002
pentru tratamentul episodic,,ACETYLCYSTEINUM,1-100,,Ingamist,100 mg/ml,soluţie injectabilă/de inhalat prin nebulizator/pentru instilaţie endotraheopulmonară,3 ml N5x2,Ucraina,"Iuria-Farm SRL, Ucraina(PROD: Iuria-Farm SRL, Ucraina; )",25016,29.10.2018,R05CB01,0100080470,True,Full,901,9017001
pentru tratamentul episodic,,ACETYLCYSTEINUM,1-100,,Asibrox,100 mg/ml,soluție injectabilă/soluție de inhalat prin nebulizator,3 ml N5x2,Georgia,"World Medicine LTD, Georgia(PROD: Mefar Ilac Sanayii  A.S., Turcia; )",27105,26.08.2021,R05CB01,9210901288,True,Full,901,9017002
pentru tratamentul episodic,,ACETYLCYSTEINUM,1-100,,Asibrox,100 mg/ml,soluție injectabilă/soluție de inhalat prin nebulizator,3 ml N5,Georgia,"World Medicine LTD, Georgia(PROD: Mefar Ilac Sanayii  A.S., Turcia; )",27105,26.08.2021,R05CB01,9210901289,True,Full,901,9017002
pentru tratamentul episodic,,ACETYLCYSTEINUM,1-100,,Fluimucil®,100 mg/ml,soluţie injectabilă/pentru inhalat ,3 ml N5,Italia,"Zambon S.P.A., Italia(PROD: Zambon S.p.A., Italia; )",29302,02.10.2023,R05CB01,9231002928,True,Full,901,9017003
pentru tratamentul episodic,,AZITHROMYCINUM,1-200,,Azibiot®,200 mg/5 ml,pulb./susp. orală,15 ml N1,Slovenia,"KRKA d.d., Novo mesto",28569,01.11.2022,J01FA10,0108040667,True,Full,229,2292009
pentru tratamentul episodic,,AZITHROMYCINUM,2-200,,Hemomycin,200 mg/5 ml,pulb./susp. orală,20 ml N1,Serbia,Hemofarm AD,29195,19.07.2023,J01FA10,100890094.99999999,True,Full,229,2292006
pentru tratamentul episodic,,AZITHROMYCINUM,2-200,,Azithromycin Lek®,200 mg/5 ml,pulb./susp. orală,20 ml N1,Slovenia,"Lek Pharmaceuticals d.d. (prod.: Sandoz SRL, România) ",28818,31.01.2023,J01FA10,0108040612,True,Full,229,2292008
pentru tratamentul episodic,,AZITHROMYCINUM,3-200,,Azimac,200 mg/5 ml,pulb./susp. orală,30 ml N1,Georgia,"GM Pharmaceuticals Ltd., Georgia",28942,31.03.2023,J01FA10,0108040690,True,Full,229,2292011
pentru tratamentul episodic,,AZITHROMYCINUM,3-200,,Ziromin,200 mg/5 ml,pulb./susp. orală,30 ml N1,Turcia,"World Medicine Ilac San.ve Tic. A.Ș., Turcia(PROD: World Medicine Ilac San. ve Ticaret A.Ş., Turcia; )",29406,31.10.2023,J01FA10,0108040704,True,Full,229,2292012
pentru tratamentul episodic,,CARBOCISTEINUM,50,,Fluditec,50 mg/ml,sirop,125 ml N1,Franţa,"Laboratoire Innotech International (prod.: Innothera Chouzy, Franţa) ",28604,01.11.2022,R05CB03,300140039,True,Full,911,9111001
pentru tratamentul episodic,,CARBOCISTEINUM,100,,MUCOCISTIN kids,100 mg/5 ml,sirop,120 ml N1,Republica Moldova,"Eurofarmaco SA, ÎCS",25718,01.08.2019,R05CB03,300140176,True,Full,911,9112001
pentru tratamentul episodic,,CARBOCISTEINUM,100,,Fluditec pentru copii,20 mg/ml,sirop,125 ml N1,Franţa,"Laboratoire Innotech International (prod.: Innothera Chouzy, Franţa) ",28605,01.11.2022,R05CB03,0300140028,True,Full,911,9112002
pentru tratamentul episodic,,CARBOCISTEINUM,125,,Bronchobos®,125 mg/5 ml,sirop,200 ml N1,Bosnia şi Herţegovina,"Bosnalijek, Pharmaceutical and Chemical Industry JSC",29020,03.05.2023,R05CB03,300140154,True,Full,911,9113001
pentru tratamentul episodic,,CARBOCISTEINUM,1-250,,Bronchobos®,250 mg/5 ml,sirop,200 ml N1,Bosnia şi Herţegovina,"Bosnalijek, Pharmaceutical and Chemical Industry JSC",29021,03.05.2023,R05CB03,300140165,True,Full,911,9114001
pentru tratamentul episodic,,CARBOCISTEINUM,2-250,,Mucocistin,250 mg/5 ml,sirop,120 ml N1,Republica Moldova,"Eurofarmaco SA, ÎCS",25201,26.12.2018,R05CB03,300140017,True,Full,911,9114002
pentru tratamentul episodic,,CARBOCISTEINUM,375,,Bronchobos®,375 mg,caps.,N10x3,Bosnia şi Herţegovina,"Bosnalijek, Pharmaceutical and Chemical Industry JSC",29071,26.05.2023,R05CB03,300140143,True,Full,911,9115001
pentru tratamentul episodic,,CARBOCISTEINUM,375,,MUCOCISTIN,375 mg,caps.,N10x3,Republica Moldova,"Eurofarmaco SA, ÎCS",25717,01.08.2019,R05CB03,300140121,True,Full,911,9115002
pentru tratamentul episodic,,CARBOCISTEINUM,1-50,,Langhes,50 mg/ml,soluţie orală,60ml N1,Ucraina,"Sperco-Ucraina ÎM, Ucraina(PROD: Sperco-Ucraina ÎM, Ucraina; )",26079,09.04.2020,R05CB03,9200400388,True,Full,911,9116001
pentru tratamentul episodic,,CARBOCISTEINUM,1-50,,Langhes,50 mg/ml,soluţie orală,200ml N1,Ucraina,"Sperco-Ucraina ÎM, Ucraina(PROD: Sperco-Ucraina ÎM, Ucraina; )",26079,09.04.2020,R05CB03,9200400389,True,Full,911,9116002
pentru tratamentul episodic (rinite alergice sezoniere și perene),,CETIRIZINUM ,10,,Aler-G,10 mg,comprimate filmate,N10x2,Georgia,"GM Pharmaceuticals Ltd. , Georgia(PROD: GM Pharmaceuticals Ltd., Georgia; )",26475,10.09.2020,R06AE07,0307530073,True,Full,903,9031001
pentru tratamentul episodic (rinite alergice sezoniere și perene),,CETIRIZINUM ,10,,Cetirizin,10 mg,comprimate filmate,N10x2,Republica Macedonia de Nord,"Replek Farm Ltd. Skopje, Republica Macedonia de Nord(PROD: Replek Farm Ltd. Skopje, Republica Macedonia de Nord; )",26108,09.04.2020,R06AE07,9200400390,True,Full,903,9031002
pentru tratamentul episodic (rinite alergice sezoniere și perene),,CETIRIZINUM ,10,,Rinalgit 10 mg,10 mg,comprimate,N10x2,Italia,"ABC Farmaceutici SpA, Italia(PROD: ABC Farmaceutici SpA, Italia; )",29655,01.07.2024,R06AE07,0307530235,True,Full,903,9031003
pentru tratamentul episodic (rinite alergice sezoniere și perene),,CETIRIZINUM ,10,,Rolinoz,10 mg,comprimate filmate,N10,Turcia,"World Medicine Ilac San.ve Tic. A.Ș., Turcia(PROD: World Medicine Ilac San. ve Ticaret A.Ş., Turcia; )",28999,31.03.2023,R06AE07,0307530224,True,Full,903,9031004
pentru tratamentul episodic (rinite alergice sezoniere și perene),,CETIRIZINUM ,10,,Stim,10 mg,comp. film.,N10,India,"Gracure Pharmaceuticals Ltd., India(PROD: Gracure Pharmaceuticals Ltd., India; )",25575,21.06.2019,R06AE07,0307530121,True,Full,903,9031006
pentru tratamentul episodic (rinite alergice sezoniere și perene),,CETIRIZINUM ,1-10,,Rinalgit 10 mg/ml,10 mg/ml,"pic. orale, sol.",20 ml N1,Italia,"ABC Farmaceutici SpA (prod.: ABC Farmaceutici SpA, Italia) ",29436,30.11.2023,R06AE07,0307530246,True,Full,903,9031005
pentru tratamentul episodic,,CEFUROXIMUM,1-125,,Zinnat®,125 mg/5 ml,granule pentru suspensie orală,100 ml N1,Marea Britanie,"Glaxo Wellcome UK Ltd, Marea Britanie(PROD: Glaxo Operations UK Limited (Glaxo Wellcome Operations), Marea Britanie; )",26348,22.07.2020,J01DC02,9200700643,True,Full,225,2251001
pentru tratamentul episodic,,CEFUROXIMUM,2-125,,Zinnat®,125 mg/5 ml,gran./susp. orală,50 ml N1,Marea Britanie,"Glaxo Wellcome UK Ltd (prod.: Glaxo Operations UK Limited (Glaxo Wellcome Operations), Marea Britanie) ",26348,22.07.2020,J01DC02,300320103,True,Full,225,2251002
pentru tratamentul episodic,,CEFPODOXIMUM,100,,Sefpotec®,100 mg/5 ml,pulbere pentru suspensie orală,100 ml N1,Turcia,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia(PROD: Nobel Ilac Sanayii ve Ticaret AŞ, Turcia; )",24317,26.03.2018,J01DD13,0309340050,True,Full,916,9162001
pentru tratamentul episodic,,CEFACLORUM,1-125,,Medoclor® 125 mg/5 ml,125 mg/5 ml,granule pentru suspensie orală,100 ml N1,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",24910,13.09.2018,J01DC04,0300190056,True,Full,909,9094001
pentru tratamentul episodic,,CEFACLORUM,1-250,,Medoclor Forte® 250 mg/5 ml,250mg/5 ml,granule pentru suspensie orală,N1,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",24907,13.09.2018,J01DC04,0300190078,True,Full,909,9091001
pentru tratamentul episodic,,CEFACLORUM,500,,Medoclor® ,500 mg,capsule,N8x2,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",24909,13.09.2018,J01DC04,0300190089,True,Full,909,9093001
pentru tratamentul episodic,,CEFPROZILUM,50,,Prefix®,250 mg/5 ml,pulbere pentru suspensie orală,100 ml N1,Turcia,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia(PROD: NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş., Turcia; )",28100,25.08.2022,J01DC10,9220802012,True,Full,961,9611001
pentru tratamentul episodic,,CLARITHROMYCINUM,1-125,,Fromilid®,125 mg/5 ml,gran./susp. orală,60 ml N1,Slovenia,"KRKA d.d., Novo mesto",27743,06.05.2022,J01FA09,300700077,True,Full,919,9193001
