,name,source
2485,"ACIDUM SILICICUM D6, ACIDUM SILICICUM C4, ACIDUM SILICICUM C6, ACIDUM SILICICUM C7, ACIDUM SILICICUM C9, ACIDUM SILICICUM C12, ACIDUM SILICICUM C15, ACIDUM SILICICUM C30, ACIDUM SILICICUM C100, ACIDUM SILICICUM C200, ACIDUM SILICICUM D12, ACIDUM SILICICUM K200, ACIDUM SILICICUM K1000, ACIDUM SILICICUM K10000, ACIDUM SILICICUM C5, ACIDUM SILICICUM C150, ACIDUM SILICICUM K30, ACIDUM SILICICUM K50000, ACIDUM SILICICUM K100000, ACIDUM SILICICUM K500000, ACIDUM SILICICUM LM1, ACIDUM SILICICUM LM3, ACIDUM SILICICUM LM4, ACIDUM SILICICUM LM6, ACIDUM SILICICUM LM7, ACIDUM SILICICUM LM9, ACIDUM SILICICUM LM12, ACIDUM SILICICUM LM15, ACIDUM SILICICUM LM18, ACIDUM SILICICUM LM21, ACIDUM SILICICUM LM24, ACIDUM SILICICUM LM27, ACIDUM SILICICUM LM30",ES
2890,"ACIDUM SILICICUM D6, ACIDUM SILICICUM C6, ACIDUM SILICICUM C9, ACIDUM SILICICUM C15, ACIDUM SILICICUM C30, ACIDUM SILICICUM C200, ACIDUM SILICICUM D8, ACIDUM SILICICUM K200, ACIDUM SILICICUM C5, ACIDUM SILICICUM LM1, ACIDUM SILICICUM LM3, ACIDUM SILICICUM LM4, ACIDUM SILICICUM LM6, ACIDUM SILICICUM LM7, ACIDUM SILICICUM LM9, ACIDUM SILICICUM LM12, ACIDUM SILICICUM LM15, ACIDUM SILICICUM LM18, ACIDUM SILICICUM LM21, ACIDUM SILICICUM LM24, ACIDUM SILICICUM LM27, ACIDUM SILICICUM LM30, ACIDUM SILICICUM C170, ACIDUM SILICICUM LM2, ACIDUM SILICICUM LM5, ACIDUM SILICICUM LM8, ACIDUM SILICICUM LM11, ACIDUM SILICICUM LM14, ACIDUM SILICICUM LM33, ACIDUM SILICICUM LM36, ACIDUM SILICICUM LM39, ACIDUM SILICICUM LM42, ACIDUM SILICICUM LM45, ACIDUM SILICICUM LM51, ACIDUM SILICICUM LM54, ACIDUM SILICICUM LM57, ACIDUM SILICICUM LM60, ACIDUM SILICICUM LM10",ES
3138,"ACIDUM SILICICUM D6, NATRIUM DIETHYLOXALACETICUM D6, NADIDUM D6, SULFUR D6, ACIDUM THIOCTICUM D6, RHUS TOXICODENDRON D2, SANGUINARIA CANADENSIS D3, CARTILAGO SUIS D4, COENZYMA A D6, EMBRYO TOTALIS SUIS D4, FUNICULUS UMBILICALIS SUIS D4, PLACENTA TOTALIS SUIS D4, SOLANUM DULCAMARA D2, SYMPHYTUM OFFICINALE D8, ARNICA MONTANA D1",ES
2393,"ACIDUM SULFURICUM C3, ACIDUM SULFURICUM C4, ACIDUM SULFURICUM C5, ACIDUM SULFURICUM C6, ACIDUM SULFURICUM C7, ACIDUM SULFURICUM C9, ACIDUM SULFURICUM C12, ACIDUM SULFURICUM C15, ACIDUM SULFURICUM C30, ACIDUM SULFURICUM C100, ACIDUM SULFURICUM C200, ACIDUM SULFURICUM D4, ACIDUM SULFURICUM D6, ACIDUM SULFURICUM D8, ACIDUM SULFURICUM D12, ACIDUM SULFURICUM D30, ACIDUM SULFURICUM K200, ACIDUM SULFURICUM K1000, ACIDUM SULFURICUM K10000",ES
2463,"ACIDUM SULFURICUM C4, ACIDUM SULFURICUM C5, ACIDUM SULFURICUM C7, ACIDUM SULFURICUM C9, ACIDUM SULFURICUM C15, ACIDUM SULFURICUM C30, ACIDUM SULFURICUM C200, ACIDUM SULFURICUM K200, ACIDUM SULFURICUM K1000, ACIDUM SULFURICUM K10000, ACIDUM SULFURICUM LM3, ACIDUM SULFURICUM LM6, ACIDUM SULFURICUM LM9",ES
36,ACIDUM URSODEOXYCHOLICUM,MD
77,ACIDUM VALPROICUM,MD
242,ACITRETINA,ES
1312,ACLIDINIO BROMURO,ES
2345,"ACONITUM NAPELLUS C3, ARISAEMA TRIPHYLLUM C3, ATROPA BELLADONNA C6, CALENDULA OFFICINALIS C6, FERRUM PHOSPHORICUM C6, HEPAR SULFURIS C6, KALIUM BICHROMICUM C6, MERCURIUS SOLUBILIS HAHNEMANNI C6, POPULUS CANDICANS C6, SPONGIA TOSTA C6, BRYONIA C3",ES
2940,"ACONITUM NAPELLUS C5, ALLIUM CEPA C5, ATROPA BELLADONNA C5",ES
2562,"ACONITUM NAPELLUS D4, ACONITUM NAPELLUS C15, ACONITUM NAPELLUS C30, ACONITUM NAPELLUS C200, ACONITUM NAPELLUS K10000, ACONITUM NAPELLUS LM2, ACONITUM NAPELLUS LM3, ACONITUM NAPELLUS LM6, ACONITUM NAPELLUS LM9, ACONITUM NAPELLUS LM12, ACONITUM NAPELLUS LM15, ACONITUM NAPELLUS LM30, ACONITUM NAPELLUS C170, ACONITUM NAPELLUS K300000, ACONITUM NAPELLUS K700000, ACONITUM NAPELLUS LM1, ACONITUM NAPELLUS LM10, ACONITUM NAPELLUS LM18, ACONITUM NAPELLUS LM21, ACONITUM NAPELLUS LM24, ACONITUM NAPELLUS LM27",ES
2247,"ACONITUM NAPELLUS D6, ACONITUM NAPELLUS C3, ACONITUM NAPELLUS D12, ACONITUM NAPELLUS C4, ACONITUM NAPELLUS C5, ACONITUM NAPELLUS C6, ACONITUM NAPELLUS C7, ACONITUM NAPELLUS C9, ACONITUM NAPELLUS C12, ACONITUM NAPELLUS C15, ACONITUM NAPELLUS C30, ACONITUM NAPELLUS C100, ACONITUM NAPELLUS C200, ACONITUM NAPELLUS K200, ACONITUM NAPELLUS K1000, ACONITUM NAPELLUS K10000, ACONITUM NAPELLUS K30, ACONITUM NAPELLUS K50000, ACONITUM NAPELLUS K100000, ACONITUM NAPELLUS LM2, ACONITUM NAPELLUS LM3, ACONITUM NAPELLUS LM6, ACONITUM NAPELLUS LM9, ACONITUM NAPELLUS LM12, ACONITUM NAPELLUS LM15, ACONITUM NAPELLUS LM30",ES
2278,"ACONITUM NAPELLUS D6, ACONITUM NAPELLUS C3, ACONITUM NAPELLUS D4, ACONITUM NAPELLUS D12, ACONITUM NAPELLUS C4, ACONITUM NAPELLUS C5, ACONITUM NAPELLUS C6, ACONITUM NAPELLUS C7, ACONITUM NAPELLUS C9, ACONITUM NAPELLUS C12, ACONITUM NAPELLUS C15, ACONITUM NAPELLUS C30, ACONITUM NAPELLUS C100, ACONITUM NAPELLUS C200, ACONITUM NAPELLUS D8, ACONITUM NAPELLUS D30, ACONITUM NAPELLUS K200, ACONITUM NAPELLUS K1000, ACONITUM NAPELLUS K10000",ES
2953,"ACONITUM NAPELLUS D6, ECHINACEA ANGUSTIFOLIA D4, ACIDUM ARSENICOSUM C5, EUPATORIUM PERFOLIATUM C4, PHOSPHORUS C5, SULFUR C5",ES
3380,ACORAMIDIS HIDROCLORURO,ES
2281,"ACTAEA SPICATA C3, ACTAEA SPICATA C4, ACTAEA SPICATA C5, ACTAEA SPICATA C6, ACTAEA SPICATA C7, ACTAEA SPICATA C9, ACTAEA SPICATA C12, ACTAEA SPICATA C15, ACTAEA SPICATA C30, ACTAEA SPICATA C100, ACTAEA SPICATA C200, ACTAEA SPICATA D4, ACTAEA SPICATA D6, ACTAEA SPICATA D8, ACTAEA SPICATA D12, ACTAEA SPICATA D30, ACTAEA SPICATA K1000, ACTAEA SPICATA K10000, ACTAEA SPICATA K200",ES
2282,"ACTAEA SPICATA C5, ACTAEA SPICATA C7, ACTAEA SPICATA C9, ACTAEA SPICATA C30, ACTAEA SPICATA C200, ACTAEA SPICATA D6",ES
1654,ADALIMUMAB,ES
572,ADAPALENO,ES
838,"ADAPALENO, BENZOILO PEROXIDO",ES
3214,"ADAPALENO, PEROXIDO DE BENZOILO HIDRATADO",ES
328,ADENOSINA,ES
1731,ADENOSINA TRIFOSFATO DISODIO,ES
1736,ADRENALINA,ES
